"uid","uname","bid","course","lid","chapter","total_attempt","total_error","accuracy"
"198","TheFalconer","29156","The Modernized Colle-Zukertort Attack","12","2. Quickstarter Guide","984","20","97.97"
"198","TheFalconer","41090","Calm & Collected: 1.d4","5","5. Pseudo Trompowsky 1.d4 d5 2.Bg5","16346","712","95.64"
"198","TheFalconer","42393","Anti Anti-Sicilians","0","2. Rare 2nd moves ----- for ALL","12530","400","96.81"
"198","TheFalconer","42393","Anti Anti-Sicilians","1","3. 2.d3 ----- for ALL","3468","182","94.75"
"198","TheFalconer","42393","Anti Anti-Sicilians","4","6. Closed Sicilian ----- for 2... e6","1844","86","95.34"
"198","TheFalconer","42393","Anti Anti-Sicilians","5","7. Grand Prix Attack ----- for 2...e6","2198","80","96.36"
"198","TheFalconer","42393","Anti Anti-Sicilians","6","8. 3.Nc3 Nc6 4.Bb5/4.Be2 ----- for 2...e6","3244","140","95.68"
"198","TheFalconer","42393","Anti Anti-Sicilians","8","10. 3.b3 ----- for 2...e6","2532","108","95.73"
"198","TheFalconer","42393","Anti Anti-Sicilians","9","11. 3.d3 KIA ----- for 2...e6","1586","40","97.48"
"198","TheFalconer","42393","Anti Anti-Sicilians","10","12. Rare lines ----- for 2...e6","2354","66","97.2"
"198","TheFalconer","42393","Anti Anti-Sicilians","11","13. Alapin with ...d5 ----- for 2...e6","7696","256","96.67"
"198","TheFalconer","42393","Anti Anti-Sicilians","26","27. Tiviakov Grand Prix 3.Bb5 ----- for 2...Nc6","852","34","96.01"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","0","2. 3rd move alternatives","15516","472","96.96"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","1","3. 3.d5","11708","420","96.41"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","2","4. 4th move alternatives","7456","288","96.14"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","3","5. 4.e4","13572","540","96.02"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","4","6. 4.e3 alternatives","8680","292","96.64"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","5","7. 4.e3 with 5.Nh3","12560","312","97.52"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","6","8. 4.Nf3","33568","1208","96.4"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","7","9. 4.Bf4 with Nc3","12308","436","96.46"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","8","10. 4.Bf4 with Nd2","13892","464","96.66"
"198","TheFalconer","49250","The Fearsome Budapest Gambit","10","1. Intro & Quickstarter Guide","7800","592","92.41"
"282","Schachzwerg","5193","100 Endgames You Must Know","0","2. Basic Endings","701","11","98.43"
"282","Schachzwerg","5193","100 Endgames You Must Know","9","11. Rook + Pawn vs. Rook","99","1","98.99"
"282","Schachzwerg","10582","The Woodpecker Method","4","4. Easy Exercises","509","22","95.68"
"282","Schachzwerg","23488","Back to Basics: Tactics","1","2. Safety and Counting","309","23","92.56"
"282","Schachzwerg","23488","Back to Basics: Tactics","9","1. Introduction","15","0","100"
"282","Schachzwerg","23488","Back to Basics: Tactics","10","3. Trapped Pieces","68","8","88.24"
"282","Schachzwerg","23488","Back to Basics: Tactics","11","4. Pins","98","10","89.8"
"282","Schachzwerg","23488","Back to Basics: Tactics","12","5. Skewers","43","2","95.35"
"282","Schachzwerg","23488","Back to Basics: Tactics","13","6. Double Threats","44","6","86.36"
"282","Schachzwerg","23488","Back to Basics: Tactics","14","7. Double Attacks","48","2","95.83"
"282","Schachzwerg","23488","Back to Basics: Tactics","15","8. Knight and Pawn Forks","59","3","94.92"
"282","Schachzwerg","23488","Back to Basics: Tactics","16","9. Removal of the Guard","77","8","89.61"
"282","Schachzwerg","27712","The Chess Toolbox 2 - Unleash your Rooks","1","1. Introduction","100","10","90"
"282","Schachzwerg","35735","The Principled Queen's Gambit: Part 1","15","2. Quickstarter Guide","5770","94","98.37"
"282","Schachzwerg","36968","Winning Chess Tactics","3","2: The Double Attack","202","18","91.09"
"282","Schachzwerg","36968","Winning Chess Tactics","4","3: The Pin","104","12","88.46"
"282","Schachzwerg","36968","Winning Chess Tactics","13","4: The Skewer","18","4","77.78"
"282","Schachzwerg","36968","Winning Chess Tactics","26","5: King Tactics and Combinations","34","4","88.24"
"282","Schachzwerg","41090","Calm & Collected: 1.d4","11","2. Quickstarter","20154","428","97.88"
"282","Schachzwerg","42898","Timeless Technique: Strategic Endgames","2","3. Weaknesses","6","0","100"
"282","Schachzwerg","49690","1001 Deadly Checkmates","3","Chapter 2: Back-Rank Mates","175","10","94.29"
"282","Schachzwerg","49690","1001 Deadly Checkmates","4","Chapter 3: Mate in the Endgame","279","36","87.1"
"282","Schachzwerg","49690","1001 Deadly Checkmates","19","Chapter 1: Elementary Mates","166","7","95.78"
"282","Schachzwerg","49690","1001 Deadly Checkmates","20","Chapter 12: Mate by Blocking Squares","2","0","100"
"282","Schachzwerg","49790","Chess Endgames For Kids","1","2. Basic Mates","18","1","94.44"
"282","Schachzwerg","49790","Chess Endgames For Kids","2","3. Pawn Endgames","234","1","99.57"
"282","Schachzwerg","49790","Chess Endgames For Kids","8","1. Introduction","26","1","96.15"
"282","Schachzwerg","50500","The Iron English: Botvinnik Variation","44","Quickstarter Guide","6342","168","97.35"
"282","Schachzwerg","50567","Chess Principles Reloaded - Development","5","2. Morphy and His Great Successors","4","0","100"
"282","Schachzwerg","53903","Chess Tactics Workbook for Kids","1","Chapter 1: Fork","42","3","92.86"
"282","Schachzwerg","55957","The Psychology of Chess Tactics ","0","Course Introduction ","4","1","75"
"282","Schachzwerg","57401","Lifetime Repertoires: Queen's Gambit Declined","14","Quickstarter Guide","8426","120","98.58"
"282","Schachzwerg","59602","Winning Chess Endings","0","1. Basic Mates","658","2","99.7"
"282","Schachzwerg","59602","Winning Chess Endings","1","2. King and Pawn Endings","1116","8","99.28"
"711","ccets","33443","Four Horsemen: The Sicilian 4 Knights Defense","11","1. Quickstarter Guide","90","0","100"
"711","ccets","37740","Tactical Resources: Creative Attack & Defense","3","1. Warm Up","300","13","95.67"
